Segment_ID,K3_MC0,K3_MC1,K3_MC2
AA_10.0_14-Jan-1993_12:11,0.41855255,0.198353,0.3830945
AA_10.0_14-Jan-1993_12:33,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_12:56,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_13:20,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_13:44,0.13649733,0.5352986,0.32820407
AA_10.0_14-Jan-1993_14:08,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_14:32,0.41810077,0.19839084,0.38350838
AA_10.0_14-Jan-1993_15:00,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_15:28,0.25039017,0.4659546,0.28365523
AA_10.0_14-Jan-1993_15:56,0.25045356,0.4659142,0.28363225
AA_10.0_14-Jan-1993_16:24,0.2122215,0.28832948,0.49944904
AA_10.0_14-Jan-1993_16:52,0.36137417,0.47625127,0.16237459
AA_10.0_14-Jan-1993_17:18,0.7218472,0.09534557,0.18280724
AA_10.0_14-Jan-1993_17:44,0.6296424,0.2709222,0.099435344
AA_10.0_14-Jan-1993_18:10,0.8357606,0.056372575,0.1078668
AA_10.0_14-Jan-1993_18:35,0.7934696,0.07085234,0.13567802
AA_10.0_14-Jan-1993_19:01,0.41832504,0.19839479,0.38328016
AA_10.0_14-Jan-1993_19:27,0.47860113,0.18538478,0.3360141
AA_10.0_14-Jan-1993_19:53,0.13649732,0.535305,0.32819772
AA_10.0_14-Jan-1993_20:20,0.100584395,0.65738297,0.24203265
AA_10.0_14-Jan-1993_20:46,0.57375354,0.14579237,0.28045413
AA_10.0_14-Jan-1993_21:12,0.57380956,0.14578806,0.28040242
AA_10.0_14-Jan-1993_21:39,0.41803727,0.198398,0.38356474
AA_10.0_14-Jan-1993_22:10,0.8913322,0.037313767,0.07135408
AA_11.0_27-Feb-1993_05:56,0.2122215,0.28832948,0.49944904
AA_11.0_27-Feb-1993_06:20,0.2122215,0.28832948,0.49944904
AA_11.0_27-Feb-1993_06:45,0.2122215,0.28832948,0.49944904
AA_11.0_27-Feb-1993_07:10,0.2122215,0.28832948,0.49944904
AA_11.0_27-Feb-1993_07:35,0.35582212,0.39554366,0.24863425
AA_11.0_27-Feb-1993_07:59,0.2122215,0.28832948,0.49944904
AA_11.0_27-Feb-1993_08:24,0.49186632,0.18539001,0.32274365
AA_11.0_27-Feb-1993_08:49,0.2122215,0.28832948,0.49944904
AA_11.0_27-Feb-1993_09:14,0.2122215,0.28832948,0.49944904
AA_11.0_27-Feb-1993_09:38,0.2122215,0.28832948,0.49944904
AA_11.0_27-Feb-1993_10:03,0.2122215,0.28832948,0.49944904
AA_11.0_27-Feb-1993_10:28,0.10299577,0.3995947,0.49740952
AA_11.0_27-Feb-1993_10:52,0.2122215,0.28832948,0.49944904
AA_11.0_27-Feb-1993_11:16,0.5116806,0.14126195,0.34705743
AA_11.0_27-Feb-1993_11:41,0.23318827,0.6038731,0.16293862
AA_11.0_27-Feb-1993_12:05,0.16856056,0.18545318,0.64598626
AA_11.0_27-Feb-1993_12:31,0.62626487,0.34676588,0.026969327
AA_12.0_05-Feb-1994_18:32,0.2122215,0.28832948,0.49944904
AA_12.0_05-Feb-1994_18:52,0.2122215,0.28832948,0.49944904
AA_12.0_05-Feb-1994_19:13,0.2122215,0.28832948,0.49944904
AA_12.0_05-Feb-1994_19:36,0.6086301,0.14305785,0.24831212
AA_12.0_05-Feb-1994_19:59,0.13676596,0.5407415,0.3224926
AA_12.0_05-Feb-1994_20:22,0.36254233,0.39429832,0.24315938
AA_12.0_05-Feb-1994_20:45,0.13676572,0.5407419,0.32249242
AA_12.0_05-Feb-1994_21:09,0.2122215,0.28832948,0.49944904
AA_12.0_05-Feb-1994_21:32,0.29883057,0.5107528,0.19041666
AA_12.0_05-Feb-1994_21:55,0.2122215,0.28832948,0.49944904
AA_12.0_05-Feb-1994_22:19,0.49186042,0.18539004,0.32274956
AA_12.0_05-Feb-1994_22:42,0.35581803,0.39554378,0.24863817
AA_12.0_05-Feb-1994_23:05,0.5119957,0.1152006,0.37280372
AA_12.0_05-Feb-1994_23:28,0.64949477,0.11058714,0.23991804
AA_12.0_05-Feb-1994_23:49,0.491867,0.18539001,0.322743
AA_12.0_06-Feb-1994_00:09,0.14383563,0.18621767,0.6699467
