	rank	measure	value
1019	7	cosine_similarity	0.5044597607761934
1020	7	r_squared	0.25356641985851885
1021	7	cosine_similarity	0.5385409772810966
1022	7	r_squared	0.27052743834183085
1023	7	cosine_similarity	0.5373985317509637
1024	7	r_squared	0.40890297726461333
1025	7	cosine_similarity	0.6487760869856931
1026	7	r_squared	0.07622161696744317
1027	7	cosine_similarity	0.4946317614197651
1028	7	r_squared	0.36150786976135557
1029	7	cosine_similarity	0.5992692833052532
1030	7	r_squared	0.2154890248289158
1031	7	cosine_similarity	0.4953690411133816
1032	7	r_squared	0.38715553233704075
1033	7	cosine_similarity	0.6340030287036001
1034	7	r_squared	0.17420795286697302
1035	7	cosine_similarity	0.4674852587109713
1036	7	r_squared	0.3584895417626902
1037	7	cosine_similarity	0.6004405149052405
1038	7	r_squared	0.37260934465340495
1039	7	cosine_similarity	0.6123341911992485
1040	7	r_squared	0.18309548674523762
1041	7	cosine_similarity	0.5005460425057113
1042	7	r_squared	0.23037242069458122
1043	7	cosine_similarity	0.5258247749486102
1044	7	r_squared	0.3845775668009559
1045	7	cosine_similarity	0.6265241427069649
1046	7	r_squared	0.2542950902013005
1047	7	cosine_similarity	0.5418527605745129
1048	7	r_squared	0.17061088163897933
1049	7	cosine_similarity	0.5219461130510745
1050	7	r_squared	0.3247210003916414
1051	7	cosine_similarity	0.5703954905875582
1052	7	r_squared	0.46040994568466964
1053	7	cosine_similarity	0.6730207217221319
1054	7	r_squared	0.45870507231656915
1055	7	cosine_similarity	0.6710576960714622
1056	7	r_squared	0.45580595552649655
1057	7	cosine_similarity	0.6712011786131915
1058	7	r_squared	0.4222052373096107
1059	7	cosine_similarity	0.6297805210074602
1060	7	r_squared	0.4237877756598008
1061	7	cosine_similarity	0.6508973373660317
1062	7	r_squared	0.3623856583830949
1063	7	cosine_similarity	0.6294860290687093
1064	7	r_squared	0.4109629642416366
1065	7	cosine_similarity	0.6379958131014885
1066	7	r_squared	0.2557400035998855
1067	7	cosine_similarity	0.5429662690202577
