h3_cell,1990-91,1992-93,1993-94,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
82d54ffffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d567fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d56ffffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d727fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d72ffffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d747fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d74ffffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d767fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,18.0,28.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d76ffffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,26.0,28.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d777fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d807fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,13.0,1.0,33.0,0.0,24.0,0.0,32.0,29.0,34.0,65.0,41.0,117.0,33.0,38.0,100.0,31.0,46.0,45.0,0.0,20.0,0.0,0.0
82d80ffffffffff,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,69.0,64.0,101.0,68.0,24.0,9.0,29.0,32.0,34.0,102.0,0.0,31.0,0.0,34.0,63.0,34.0,0.0,33.0,16.0,34.0,0.0,0.0,0.0
82d817fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,121.0,3.0,28.0,0.0,2.0,10.0,37.0,33.0,66.0,66.0,99.0,100.0,34.0,3.0,97.0,37.0,63.0,37.0,13.0,21.0,0.0,0.0
82d81ffffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,55.0,44.0,26.0,0.0,0.0,14.0,21.0,23.0,74.0,22.0,16.0,0.0,21.0,51.0,33.0,0.0,35.0,27.0,30.0,0.0,0.0,0.0
82d827fffffffff,0.0,0.0,0.0,0.0,31.0,32.0,0.0,34.0,31.0,28.0,0.0,0.0,34.0,11.0,34.0,43.0,11.0,32.0,0.0,24.0,94.0,19.0,36.0,33.0,83.0,60.0,34.0,9.0,13.0,0.0,30.0
82d82ffffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,0.0,33.0,0.0,20.0,0.0,22.0,22.0,34.0,68.0,34.0,136.0,33.0,29.0,97.0,7.0,7.0,58.0,0.0,21.0,0.0,0.0
82d837fffffffff,0.0,0.0,0.0,0.0,15.0,7.0,0.0,45.0,22.0,132.0,0.0,0.0,55.0,27.0,102.0,39.0,3.0,19.0,0.0,67.0,80.0,0.0,18.0,14.0,93.0,29.0,35.0,30.0,13.0,0.0,32.0
82d847fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,74.0,13.0,5.0,35.0,30.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,20.0,0.0,0.0,0.0
82d84ffffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d857fffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,32.0,0.0,0.0,33.0,11.0,27.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
82d85ffffffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82d867fffffffff,0.0,0.0,0.0,0.0,0.0,65.0,5.0,0.0,82.0,36.0,68.0,52.0,25.0,0.0,32.0,35.0,12.0,105.0,25.0,35.0,0.0,35.0,58.0,35.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0
82d86ffffffffff,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,58.0,63.0,25.0,16.0,36.0,8.0,0.0,0.0,4.0,33.0,0.0,0.0,0.0,3.0,0.0,0.0,34.0,0.0,31.0,0.0,0.0,0.0
